Most Mentioned Companies,,,,,,,,"Among all online discussions of data security in pharmaceutical industry, 2% are about J&J",,
4278 documents  All Dates,,,,,,,,,,
,,,,,,,,,,
Company,Document Count,,,,,,,,,
Novartis AG,260,,,,,,,,,
Pfizer Inc,178,,,,,,,,,
Novartis Pharmaceuticals Corporation,148,,,,,,,,,
Bayer AG,122,,,,,,,,,
AstraZeneca PLC,97,,,,,,,,,
BioNTech SE,89,,,,,,,,,
U.S. Food and Drug Administration,86,,,,,,,,,
Merck & Co. Inc.,76,,,,,,,,,
International Business Machines Corp.,44,,,,,,,,,
Johnson & Johnson,41,,,,,,,,,
Other,1711,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Roche Holding AG,56,,,,,,,,,
European Union,78,,,,,,,,,
Teva Pharmaceutical Industries Ltd,67,,,,,,,,,
European Medicines Agency,71,,,,,,,,,
"Amazon.com, Inc.",40,,,,,,,,,
Dr Reddy Laboratories Ltd,40,,,,,,,,,
"Amneal Pharmaceuticals, Inc.",38,,,,,,,,,
Microsoft Corporation,38,,,,,,,,,for J&J
Sandoz Inc.,37,,,,,,,,,6.01% negative
Meta Platforms Inc.,35,,,,,,,,,85.20% neutural
European Commission,33,,,,,,,,,8.70% positive
Syneos Health Inc,31,,,,,,,,,
Toray Industries Incorporated,31,,,,,,,,,
National Health Service,31,,,,,,,,,
Communications Security Establishment Canada,30,,,,,,,,,
National Cyber Security Centre,29,,,,,,,,,
"Amazon Web Services, Inc.",29,,,,,,,,,
Moderna Inc,26,,,,,,,,,
"Japan Ministry of Health, Labour and Welfare",25,,,,,,,,,
Thomas H Lee Partners LP,23,,,,,,,,,
Akorn Inc,22,,,,,,,,,
AmerisourceBergen Corp,22,,,,,,,,,
WISeKey International Holding Ltd,22,,,,,,,,,
Advent International Corporation,21,,,,,,,,,
Federal Trade Commission,21,,,,,,,,,
Sunniva Inc.,21,,,,,,,,,
Gilead Sciences Inc,20,,,,,,,,,
GlaxoSmithKline PLC,20,,,,,,,,,
Fresenius SE & Co. KGaA,19,,,,,,,,,
Hanmi Pharmaceutical Company Limited,19,,,,,,,,,
Monsanto Company,19,,,,,,,,,
Veeva Systems Inc.,19,,,,,,,,,
Germany Federal Office for Information Security,18,,,,,,,,,
Google LLC,18,,,,,,,,,
National Security Agency,18,,,,,,,,,
Eli Lilly and Co,17,,,,,,,,,
Merck KGaA,17,,,,,,,,,
VST Enterprises Limited,17,,,,,,,,,
Health Canada,16,,,,,,,,,
Alberta Health Services,16,,,,,,,,,
Quest Diagnostics Incorporated,16,,,,,,,,,
Abbott Laboratories Inc.,15,,,,,,,,,
Tandem Diabetes Care Inc.,15,,,,,,,,,
Her Majesty's Government of the United Kingdom of Great Britain and Northern Ireland,15,,,,,,,,,
Celltrion Inc,15,,,,,,,,,
United States Department of Health and Human Services,15,,,,,,,,,
World Health Organization,15,,,,,,,,,
Laboratory Corporation of America Holdings,14,,,,,,,,,
Centers for Disease Control and Prevention,14,,,,,,,,,
ECI Inc.,13,,,,,,,,,
Russian Direct Investment Fund,13,,,,,,,,,
Takeda Pharmaceutical Company Limited,13,,,,,,,,,
United States Department of Homeland Security,13,,,,,,,,,
Chugai Pharmaceutical Co Ltd,12,,,,,,,,,
"Catalyst Pharmaceuticals, Inc.",12,,,,,,,,,
Daiichi Sankyo Company Limited,12,,,,,,,,,
Bundesamt für Verfassungsschutz,12,,,,,,,,,
Mitsubishi Materials Corporation,12,,,,,,,,,
Robert Koch-Institut,12,,,,,,,,,
Shionogi & Co Ltd,12,,,,,,,,,
FinCanna Capital Corp,11,,,,,,,,,
CSL Limited,11,,,,,,,,,
Alphabet Inc.,11,,,,,,,,,
"Novavax, Inc.",11,,,,,,,,,
Twitter Inc.,11,,,,,,,,,
Apple Inc.,10,,,,,,,,,
Bristol-Myers Squibb Co,10,,,,,,,,,
European Parliament,10,,,,,,,,,
Mandiant Inc.,10,,,,,,,,,
Kobe Steel Ltd,10,,,,,,,,,
Mylan N.V.,10,,,,,,,,,
AbbVie Inc.,9,,,,,,,,,
JW PHARMACEUTICAL Corporation,9,,,,,,,,,
Equifax Inc.,9,,,,,,,,,
Federal Bureau of Investigation,9,,,,,,,,,
"BioReference Laboratories, Inc.",9,,,,,,,,,
International Air Transport Association,9,,,,,,,,,
Walmart Inc,9,,,,,,,,,
Centogene N.V.,8,,,,,,,,,
Committee for Medicinal Products for Human Use,8,,,,,,,,,
"HOKUYAKU TAKEYAMA Holdings, Inc.",8,,,,,,,,,
Pierre Fabre SA,8,,,,,,,,,
New Zealand Ministry of Health,8,,,,,,,,,
Sanofi SA,8,,,,,,,,,
United States Department of Justice,8,,,,,,,,,
Viatris Inc,8,,,,,,,,,
Bio-Thera Solutions Limited,8,,,,,,,,,
Federal Institute for Drugs and Medical Devices of Germany,7,,,,,,,,,
Capcom Co Ltd,7,,,,,,,,,
Eisai Co Ltd,7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Search Summary,,,,,,,,,,
All of these words,,,,,,,,,,
At least one of these words,,,,,,,,,,
None of these words,,,,,,,,,,
This exact phrase,,,,,,,,,,
Date,In the last 5 years,,,,,,,,,
Source,All Sources,,,,,,,,,
Author,All Authors,,,,,,,,,
Company,All Companies,,,,,,,,,
Subject,Data Warehousing Or Privacy Issues/Information Security,,,,,,,,,
Industry,Pharmaceuticals,,,,,,,,,
Region,All Regions,,,,,,,,,
Language,All Languages,,,,,,,,,
Results Found,"4,278",,,,,,,,,
Timestamp,1 December 2021 18:43,,,,,,,,,
"© 2021 Factiva, Inc.  All rights reserved.",,,,,,,,,,
